Gene,IFNa,IFNg,celltype_level,subset
TRIM21,0.653311236,0.755774775,L1,Bcell
TMEM123,0.651576357,-0.131959575,L1,Bcell
CAPN2,0.641782682,-0.235223926,L1,Bcell
TRAFD1,0.631534994,1.012805249,L1,Bcell
UBA7,0.630845543,0.403339182,L1,Bcell
N4BP3,-0.630439995,-0.880041214,L1,Bcell
FBXO6,0.629847714,0.91557024,L1,Bcell
ECE1,0.626831746,-0.216027572,L1,Bcell
RAC2,0.622067804,0.425565173,L1,Bcell
C12orf74,0.617252493,0.263379781,L1,Bcell
ARRDC2,-0.616962415,-0.805741474,L1,Bcell
SNX9,-0.61545819,-0.75481727,L1,Bcell
EEF2,-0.612438736,-0.092905543,L1,Bcell
ATG16L2,-0.60609577,-0.393171457,L1,Bcell
WARS,0.605813618,3.155368382,L1,Bcell
EEF1G,-0.596435898,-0.098124985,L1,Bcell
APOL3,0.591439908,1.027711583,L1,Bcell
TMEM140,0.591228038,1.008742984,L1,Bcell
GBP4,0.591082132,3.61884443,L1,Bcell
B2M,0.585961984,1.005842048,L1,Bcell
C16orf74,-0.585752587,-0.92703694,L1,Bcell
PRKD2,0.581221612,0.021867301,L1,Bcell
ATP13A1,0.577585295,0.107659679,L1,Bcell
TBC1D9,-0.575763369,-0.493529646,L1,Bcell
TAPBP,0.571346019,0.660771199,L1,Bcell
FGD2,0.570504331,0.513702668,L1,Bcell
TRIO,-0.567903828,-0.535746343,L1,Bcell
SCLT1,0.56669926,0.045678019,L1,Bcell
EHD4,0.562998606,0.079023344,L1,Bcell
TAGLN2,-0.556843577,-0.3290903,L1,Bcell
ZNF92,0.555751846,-0.11044519,L1,Bcell
PSME1,0.555428697,1.324232126,L1,Bcell
B3GNT2,0.555184933,0.112175558,L1,Bcell
CHMP5,0.555073144,0.208091772,L1,Bcell
ARHGEF3,0.554299208,1.000742878,L1,Bcell
GBP1,0.545285437,3.44226757,L1,Bcell
GNB4,0.544070627,0.509315362,L1,Bcell
DYNLT1,0.540822707,0.69132356,L1,Bcell
FAM43A,-0.540239097,-0.639517824,L1,Bcell
GTPBP1,0.538002304,0.369218991,L1,Bcell
SCML4,0.534897851,0,L1,Bcell
TBC1D1,0.528327679,0.311320449,L1,Bcell
DPEP2,-0.523591762,-0.890765408,L1,Bcell
